@relation Tweets

@attribute Class {positive,negative}
@attribute Text STRING

@data
positive,'USER i love audio book \'the art war \' sun tzu read jim white mountainsandsea'
negative,'i i \'m 4th season oth i not understand loves lucas scott pisses'
negative,'i not plans tomorrow smart i sat \'s day yolo'
positive,'USER amsterdam tomorrow jacco'
positive,'rt USER rt USER home 1st day mts11 great time USER USER mv'
negative,'photo albums photos app ios 5 not password protect um USER fix quickly'
negative,'disappointed knicks nets game canceled tonight i \'m hyped knicks heat friday'
positive,'android 4 0 finally includes photo editing tools google android ics'
positive,'game 3 tomorrow i \'m excited shit coming pro bowl haha'
negative,'i thought hisd not school tomorrow christopher columbus day'
positive,'USER forget dook series \'s beat state saturday continue a succesful season'
positive,'lol deadskins signed kicker'
positive,'wearing jedpower band football today not won january \'s HAPPYSMILEY USER'
negative,'power point tok not today changed language friday tokadventures pic twitter ulo1svp5'
positive,'USER dr mohamed morsi announced egypt \'s 1st elected president glorious 25th jan revolution congratulations egypt'
positive,'im enjoying celebrity juice sleep fooked tomorrow'
negative,'ate mcdonald \'s feel guilty i \'m goin 24 hour 2 az tomorrow life'
negative,'sister rubbing face fact not school tomorrow i ulazysackofshit thalia love lmao'
positive,'USER lebron a hometown hero lol i love lakers \'s cavs lol'
negative,'USER \'s iphone 4 giving a hella hard time w ios5 update USER'
negative,'arianators i \'m a girl \'s body very sore ariana jennette \'s goodluck tomorrow SADSMILEY'
positive,'i worked nike fav word HAPPYSMILEY'
negative,'USER USER 3rd o i i thought careless world 1st not'
positive,'not wait raid cvs tomorrow discounted candy halloween'
positive,'i not shit lol hell naw twitter'
negative,'rt USER apple eclipsed microsoft URL lt microsoft \'s future corporate world not consumer'
positive,'dr mohamed morsi announced egypt \'s 1st elected president glorious 25th jan revolution congratulations egypt'
negative,'i marana girls bad fuck white party i jaylon saturday marana tigers'
negative,'valor official screwed tomorrow audis bmws not good snow valorproblems richkidproblems letsgetoursecondcarsout'
positive,'entrepreneur angelinvestor pitch birthday party super bowl sunday treat URL'
positive,'russell howard cuckoo celebrity juice family guy thursday night night comedy'
positive,'sis won tickets jonas brothers concert USER canning monday'
positive,'egypt \'s morsi red carpet iran tehran aug 29 egypt \'s mohamed morsi iran visit URL'
negative,'boo not googlemusic news carrier news price points google ics android'
negative,'open letter steve ballmer retire forbes retweet msft a techie leader URL microsoft ballmer'
positive,'maddie luck saturday a solo audition britain \'s talent HAPPYSMILEY ellie xx'
negative,'microsoft fail notresponding fcucks sake URL'
positive,'URL profile sandro i kind love'
negative,'USER give apps'
negative,'\'s worse stuck a time loop groundhog day stuck a monday loop'
positive,'14 feb 2011 happy valentine \'s day i \'m buy cookies stuff full'
positive,'yeah USER ios5 readinglists changed life nowicanspendevenmoretimeonmyphone'
positive,'tweets 900 \'s i mention i \'m pouring wine a friday night diablo ii meta classy'
positive,'heat knicks playoffs tomorrow lebron wade bring'
positive,'USER cassidy im jealous hair haha sayingg'
negative,'USER USER deliver daughter \'s i4s driving nuts iphone'
negative,'USER people not mick jagger not skool c \'mon mick jagger a lot years'
negative,'not not bgv rt USER i not wait USER lassyy listen hours taylor swift drive tomorrow'
positive,'premier league west ham man city saturday preview stats interesting betting tips URL'
positive,'i learned mlb playoffs cougar town a network i not wait january poundinggrape pennycan'
positive,'USER halloween good 3rd valentine \'s day'
negative,'ghost rider spirit vengeance a lost 1st movie decided dig a hole'
negative,'fuck u USER'
positive,'i love brokeback mountain \'s great homosexuality acceptable'
positive,'\'s \'yeah i acne i love brokeback mountain \''
negative,'i not a fan dream high 2 i not watched i watched 1st ep \'s i heard song'
negative,'google apps microsoft office 365 clear google apps top choice URL'
negative,'samsung google unveil phone URL'
negative,'ma ipas not 24 hours i jailbroke shagged itunes not letme restore USER sym'
positive,'i \'m starting concerned sending hashtags emails HAPPYSMILEY twitter lives HAPPYSMILEY'
negative,'amsterdam early a friday morning not ideal i home'
positive,'good flacco showing fight 2nd \'s i point'
negative,'a reason swap ios daft games android a desolate wasteland games URL'
positive,'i played rugby yesterday broken finger worth pain game fun i remember'
negative,'apple ceo apologizes error ridden map app apple ceo tim cook apologized friday company \'s error ridden mobile map'
negative,'rt USER USER not appropriately project resources needed siri not very reliable'
positive,'i love brokeback mountain'
negative,'ghost rider 2 pretty shit i 1st honesty 2nd badly directed shaky camera style disorientating'
negative,'USER u guys gay'
negative,'USER c \'mon leo \'s endymion amsterdam i likes amsterdam songs shit compared i put'
positive,'USER siri amazing'
negative,'cif piece meant funny i unintentional sense ironically humourless URL'
negative,'i tweeted USER gary carter photo facepalm removed mets photo 2nd choice bad kid holding mets cap'
positive,'twitition mcfly argentina time mar del plata URL'
positive,'“USER \'not red tape \' jersey turns nonunion relief crews URL USER USER hmm'
negative,'good evening cost warm pork chops oven wlf'
negative,'kind creepy search engine USER URL microsoft'
negative,'USER cu'
positive,'whooped ass kill confirmed USER USER tomorrow makin kats cry gears3'
positive,'yay not mars coming a album december 11th HAPPYSMILEY i'
positive,'sat work i ferrell boxset put a film a power nap sit sounds good'
negative,'rt USER warning iphone apps spontaneously loose data not app \'s fault URL ios5downgrade'
positive,'kinect learning playful sesamestreet nationalgeographic education microsoft URL'
negative,'USER sucking i not sell online not'
negative,'wilth accessibility mode sharepoint 2010 workflows not start automatically sp2010 workflow microsoft'
positive,'ipads replace bound playbooks n f l teams URL USER USER'
