@relation Tweets

@attribute Class {positive,negative}
@attribute Text STRING

@data
positive,'user i love audio book \'the art war \' sun tzu read jim white mountainsandsea'
negative,'i i \'m 4th season oth i not understand love lucas scott piss'
negative,'i not plan tomorrow smart i sit \'s day yolo'
positive,'user amsterdam tomorrow jacco'
positive,'rt user rt user home 1st day mts11 great time user user mv'
negative,'photo album photo app io 5 not password protect um user fix quickly'
negative,'disappointed knicks net game cancel tonight i \'m hype knicks heat friday'
positive,'android 4 0 finally include photo editing tool google android ic'
positive,'game 3 tomorrow i \'m excite shit come pro bowl haha'
negative,'i think hisd not school tomorrow christopher columbus day'
positive,'user forget dook series \'s beat state saturday continue a succesful season'
positive,'lol deadskins sign kicker'
positive,'wear jedpower band football today not win january \'s HAPPYSMILEY user'
negative,'power point tok not today change language friday tokadventures pic twitter ulo1svp5'
positive,'user dr mohamed morsi announce egypt \'s 1st elect president glorious 25th jan revolution congratulations egypt'
positive,'im enjoy celebrity juice sleep fooked tomorrow'
negative,'eat mcdonald \'s feel guilty i \'m goin 24 hour 2 az tomorrow life'
negative,'sister rub face fact not school tomorrow i ulazysackofshit thalia love lmao'
positive,'user lebron a hometown hero lol i love lakers \'s cavs lol'
negative,'user \'s iphone 4 give a hella hard time w ios5 update user'
negative,'arianators i \'m a girl \'s body very sore ariana jennette \'s goodluck tomorrow SADSMILEY'
positive,'i work nike fav word HAPPYSMILEY'
negative,'user user 3rd o i i think careless world 1st not'
positive,'not wait raid cv tomorrow discount candy halloween'
positive,'i not shit lol hell naw twitter'
negative,'rt user apple eclipse microsoft url lt microsoft \'s future corporate world not consumer'
positive,'dr mohamed morsi announce egypt \'s 1st elect president glorious 25th jan revolution congratulations egypt'
negative,'i marana girl bad fuck white party i jaylon saturday marana tigers'
negative,'valor official screw tomorrow audis bmws not good snow valorproblems richkidproblems letsgetoursecondcarsout'
positive,'entrepreneur angelinvestor pitch birthday party super bowl sunday treat URL'
positive,'russell howard cuckoo celebrity juice family guy thursday night night comedy'
positive,'sis win ticket jonas brother concert user canning monday'
positive,'egypt \'s morsi red carpet iran tehran aug 29 egypt \'s mohamed morsi iran visit URL'
negative,'boo not googlemusic news carrier news price point google ic android'
negative,'open letter steve ballmer retire forbes retweet msft a techie leader url microsoft ballmer'
positive,'maddie luck saturday a solo audition britain \'s talent HAPPYSMILEY ellie xx'
negative,'microsoft fail notresponding fcucks sake URL'
positive,'URL profile sandro i kind love'
negative,'user give apps'
negative,'\'s worse stick a time loop groundhog day stick a monday loop'
positive,'14 feb 2011 happy valentine \'s day i \'m buy cookie stuff full'
positive,'yeah user ios5 readinglists change life nowicanspendevenmoretimeonmyphone'
positive,'tweet 900 \'s i mention i \'m pour wine a friday night diablo ii meta classy'
positive,'heat knicks playoff tomorrow lebron wade bring'
positive,'user cassidy im jealous hair haha sayingg'
negative,'user user deliver daughter \'s i drive nut iphone'
negative,'user people not mick jagger not skool c \'mon mick jagger a lot years'
negative,'not not bgv rt user i not wait user lassyy listen hours taylor swift drive tomorrow'
positive,'premier league west ham man city saturday preview stats interesting bet tip URL'
positive,'i learn mlb playoff cougar town a network i not wait january poundinggrape pennycan'
positive,'user halloween good 3rd valentine \'s day'
negative,'ghost rider spirit vengeance a lose 1st movie decide dig a hole'
negative,'fuck u USER'
positive,'i love brokeback mountain \'s great homosexuality acceptable'
positive,'\'s \'yeah i acne i love brokeback mountain \''
negative,'i not a fan dream high 2 i not watch i watch 1st ep \'s i hear song'
negative,'google apps microsoft office 365 clear google apps top choice URL'
negative,'samsung google unveil phone URL'
negative,'ma ipas not 24 hours i jailbroke shag itunes not letme restore user sym'
positive,'i \'m start concern send hashtags email HAPPYSMILEY twitter life HAPPYSMILEY'
negative,'amsterdam early a friday morning not ideal i home'
positive,'good flacco show fight nd \'s i point'
